id,sex,age,comorbidities,medication,condition,analysis_type,method_or_model,handcrafted_unit,level,balance
174,ALL,5-8,ALL,ALL,EC,fine_tune,reve,N/A,subject,balanced
175,ALL,5-8,ALL,ALL,EO,fine_tune,biot,N/A,subject,balanced
176,ALL,5-8,ALL,ALL,EC,fine_tune,biot,N/A,subject,balanced
177,ALL,5-8,ALL,ALL,EO,fine_tune,labram,N/A,subject,balanced
178,ALL,5-8,ALL,ALL,EC,fine_tune,labram,N/A,subject,balanced
179,ALL,5-8,ALL,ALL,EO,fine_tune,luna,N/A,subject,balanced
180,ALL,5-8,ALL,ALL,EC,fine_tune,luna,N/A,subject,balanced
181,ALL,5-8,ALL,ALL,EO,fine_tune,signaljepa,N/A,subject,balanced
182,ALL,5-8,ALL,ALL,EC,fine_tune,signaljepa,N/A,subject,balanced
183,ALL,5-8,ALL,ALL,EO,fine_tune,bendr,N/A,subject,balanced
184,ALL,5-8,ALL,ALL,EC,fine_tune,bendr,N/A,subject,balanced
185,ALL,9-12,ALL,ALL,N/A,dim_reduction,PCA,N/A,subject,balanced
186,ALL,9-12,ALL,ALL,N/A,dim_reduction,UMAP,N/A,subject,balanced
187,ALL,9-12,ALL,ALL,N/A,dim_reduction,t-SNE,N/A,subject,balanced
188,ALL,9-12,ALL,ALL,N/A,handcrafted,LogisticRegression,feature,subject,balanced
189,ALL,9-12,ALL,ALL,N/A,handcrafted,RandomForestClassifier,feature,subject,balanced
190,ALL,9-12,ALL,ALL,N/A,handcrafted,LogisticRegression,sensor,subject,balanced
191,ALL,9-12,ALL,ALL,N/A,handcrafted,RandomForestClassifier,sensor,subject,balanced
192,ALL,9-12,ALL,ALL,N/A,handcrafted,LogisticRegression,region,subject,balanced
193,ALL,9-12,ALL,ALL,N/A,handcrafted,RandomForestClassifier,region,subject,balanced
194,ALL,9-12,ALL,ALL,EO,embedding,cbramod,N/A,subject,balanced
195,ALL,9-12,ALL,ALL,EC,embedding,cbramod,N/A,subject,balanced
196,ALL,9-12,ALL,ALL,EO,embedding,reve,N/A,subject,balanced
197,ALL,9-12,ALL,ALL,EC,embedding,reve,N/A,subject,balanced
198,ALL,9-12,ALL,ALL,EO,embedding,biot,N/A,subject,balanced
199,ALL,9-12,ALL,ALL,EC,embedding,biot,N/A,subject,balanced
200,ALL,9-12,ALL,ALL,EO,embedding,labram,N/A,subject,balanced
201,ALL,9-12,ALL,ALL,EC,embedding,labram,N/A,subject,balanced
202,ALL,9-12,ALL,ALL,EO,embedding,luna,N/A,subject,balanced
203,ALL,9-12,ALL,ALL,EC,embedding,luna,N/A,subject,balanced
204,ALL,9-12,ALL,ALL,EO,embedding,signaljepa,N/A,subject,balanced
205,ALL,9-12,ALL,ALL,EC,embedding,signaljepa,N/A,subject,balanced
206,ALL,9-12,ALL,ALL,EO,embedding,bendr,N/A,subject,balanced
207,ALL,9-12,ALL,ALL,EC,embedding,bendr,N/A,subject,balanced
208,ALL,9-12,ALL,ALL,EO,fine_tune,cbramod,N/A,subject,balanced
209,ALL,9-12,ALL,ALL,EC,fine_tune,cbramod,N/A,subject,balanced
210,ALL,9-12,ALL,ALL,EO,fine_tune,reve,N/A,subject,balanced
211,ALL,9-12,ALL,ALL,EC,fine_tune,reve,N/A,subject,balanced
212,ALL,9-12,ALL,ALL,EO,fine_tune,biot,N/A,subject,balanced
213,ALL,9-12,ALL,ALL,EC,fine_tune,biot,N/A,subject,balanced
214,ALL,9-12,ALL,ALL,EO,fine_tune,labram,N/A,subject,balanced
215,ALL,9-12,ALL,ALL,EC,fine_tune,labram,N/A,subject,balanced
216,ALL,9-12,ALL,ALL,EO,fine_tune,luna,N/A,subject,balanced
217,ALL,9-12,ALL,ALL,EC,fine_tune,luna,N/A,subject,balanced
218,ALL,9-12,ALL,ALL,EO,fine_tune,signaljepa,N/A,subject,balanced
219,ALL,9-12,ALL,ALL,EC,fine_tune,signaljepa,N/A,subject,balanced
220,ALL,9-12,ALL,ALL,EO,fine_tune,bendr,N/A,subject,balanced
221,ALL,9-12,ALL,ALL,EC,fine_tune,bendr,N/A,subject,balanced
222,ALL,13-18,ALL,ALL,N/A,dim_reduction,PCA,N/A,subject,balanced
223,ALL,13-18,ALL,ALL,N/A,dim_reduction,UMAP,N/A,subject,balanced
224,ALL,13-18,ALL,ALL,N/A,dim_reduction,t-SNE,N/A,subject,balanced
225,ALL,13-18,ALL,ALL,N/A,handcrafted,LogisticRegression,feature,subject,balanced
226,ALL,13-18,ALL,ALL,N/A,handcrafted,RandomForestClassifier,feature,subject,balanced
227,ALL,13-18,ALL,ALL,N/A,handcrafted,LogisticRegression,sensor,subject,balanced
228,ALL,13-18,ALL,ALL,N/A,handcrafted,RandomForestClassifier,sensor,subject,balanced
229,ALL,13-18,ALL,ALL,N/A,handcrafted,LogisticRegression,region,subject,balanced
230,ALL,13-18,ALL,ALL,N/A,handcrafted,RandomForestClassifier,region,subject,balanced
